ProductId,TradeId,Price,Book,Quantity,Side
9128283H1,e699bdfd,99.0,TRSY1,1000000,0
9128283H1,bd91d3a5,100.0,TRSY2,2000000,1
9128283H1,c518da8d,99.0,TRSY3,3000000,0
9128283H1,8d158b44,100.0,TRSY1,4000000,1
9128283H1,fc7e2e8a,99.0,TRSY2,5000000,0
9128283H1,1a2d2c1a,100.0,TRSY3,1000000,1
9128283H1,3f8bb334,99.0,TRSY1,2000000,0
9128283H1,b67d259b,100.0,TRSY2,3000000,1
9128283H1,f62b631a,99.0,TRSY3,4000000,0
9128283H1,4ae22e74,100.0,TRSY1,5000000,1
9128283L2,05f5a530,99.0,TRSY2,1000000,0
9128283L2,6835c88b,100.0,TRSY3,2000000,1
9128283L2,30260460,99.0,TRSY1,3000000,0
9128283L2,582c4a4e,100.0,TRSY2,4000000,1
9128283L2,49be2e36,99.0,TRSY3,5000000,0
9128283L2,6abce60a,100.0,TRSY1,1000000,1
9128283L2,64f60b03,99.0,TRSY2,2000000,0
9128283L2,05d689ab,100.0,TRSY3,3000000,1
9128283L2,b058cd4f,99.0,TRSY1,4000000,0
9128283L2,be820e6f,100.0,TRSY2,5000000,1
912828M80,0104b707,99.0,TRSY3,1000000,0
912828M80,b913d639,100.0,TRSY1,2000000,1
912828M80,c322ee4d,99.0,TRSY2,3000000,0
912828M80,4a66bcfa,100.0,TRSY3,4000000,1
912828M80,1ce3fbcb,99.0,TRSY1,5000000,0
912828M80,4af1195b,100.0,TRSY2,1000000,1
912828M80,b63fa658,99.0,TRSY3,2000000,0
912828M80,83f73699,100.0,TRSY1,3000000,1
912828M80,aae0b5a4,99.0,TRSY2,4000000,0
912828M80,e57a41ac,100.0,TRSY3,5000000,1
9128283J7,5825f5a1,99.0,TRSY1,1000000,0
9128283J7,7341917c,100.0,TRSY2,2000000,1
9128283J7,3d615b4d,99.0,TRSY3,3000000,0
9128283J7,2ae970fa,100.0,TRSY1,4000000,1
9128283J7,d093dd13,99.0,TRSY2,5000000,0
9128283J7,0765231e,100.0,TRSY3,1000000,1
9128283J7,4368671b,99.0,TRSY1,2000000,0
9128283J7,8f23c608,100.0,TRSY2,3000000,1
9128283J7,cbd5b044,99.0,TRSY3,4000000,0
9128283J7,90ecb051,100.0,TRSY1,5000000,1
9128283F5,190c2a83,99.0,TRSY2,1000000,0
9128283F5,6ede6d73,100.0,TRSY3,2000000,1
9128283F5,b8e8195d,99.0,TRSY1,3000000,0
9128283F5,cf8f4fdd,100.0,TRSY2,4000000,1
9128283F5,b89dff55,99.0,TRSY3,5000000,0
9128283F5,1023f17e,100.0,TRSY1,1000000,1
9128283F5,884fed3e,99.0,TRSY2,2000000,0
9128283F5,bf4de9c7,100.0,TRSY3,3000000,1
9128283F5,5429fcf1,99.0,TRSY1,4000000,0
9128283F5,65598018,100.0,TRSY2,5000000,1
912810RZ3,1beb594a,99.0,TRSY3,1000000,0
912810RZ3,f1ba1255,100.0,TRSY1,2000000,1
912810RZ3,e9267a13,99.0,TRSY2,3000000,0
912810RZ3,4dc8492e,100.0,TRSY3,4000000,1
912810RZ3,4296aa6b,99.0,TRSY1,5000000,0
912810RZ3,95421b98,100.0,TRSY2,1000000,1
912810RZ3,791ac75d,99.0,TRSY3,2000000,0
912810RZ3,2c8982dd,100.0,TRSY1,3000000,1
912810RZ3,995c4afd,99.0,TRSY2,4000000,0
912810RZ3,760ce13c,100.0,TRSY3,5000000,1
